Processo,Classe,Assunto,Comarca,Ano,Especializada
0684056-28.2020.8.04.0001,Procedimento do Juizado da Fazenda Pública,Promoção,Comarca de Manaus,2020.0,CPRAC - PPC
0718897-49.2020.8.04.0001,Procedimento Comum,Promoção,Comarca de Manaus,2020.0,CPRAC - PPC
0612784-37.2021.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2021.0,CPRAC - PPC
0665985-41.2021.8.04.0001,Procedimento Comum,Promoção de Delegado de Polícia,Comarca de Manaus,2021.0,CPRAC - PPC
0693332-15.2022.8.04.0001,Petição Cível,Gratificação de curso,Comarca de Manaus,2022.0,CPRAC - PPC
0735049-07.2022.8.04.0001,Petição Cível,Promoção de Investigador de Polícia,Comarca de Manaus,2022.0,CPRAC - PPC
0754903-84.2022.8.04.0001,Procedimento Comum,Progressão funcional,Comarca de Manaus,2022.0,CPRAC - PPC
0760057-83.2022.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2022.0,CPRAC - PPC
0402557-98.2023.8.04.0001,Procedimento Comum,Promoção de Escrivão de Polícia,Comarca de Manaus,2023.0,CPRAC - PPC
0916095-26.2022.8.04.0001,Procedimento Comum,Abono de permanência em serviço,Comarca de Manaus,2022.0,CPRAC - PPC
0405282-60.2023.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0428835-39.2023.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0428840-61.2023.8.04.0001,Homologação de Transação Extrajudicial,Diferença de remuneração,Comarca de Manaus,2023.0,CPRAC - PPC
0443933-64.2023.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0439891-69.2023.8.04.0001,Homologação de Transação Extrajudicial,Indenização de licença especial,Comarca de Manaus,2023.0,CPRAC - PPC
0903925-22.2022.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2022.0,CPRAC - PPC
0452575-26.2023.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0459312-45.2023.8.04.0001,Homologação de Transação Extrajudicial,Diferença de remuneração,Comarca de Manaus,2023.0,CPRAC - PPC
0467316-71.2023.8.04.0001,Petição Cível,Quintos,Comarca de Manaus,2023.0,CPRAC - PPC
0527152-72.2023.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0208524-11.2023.8.04.0001,Homologação de Transação Extrajudicial,Data base de servidor público,Comarca de Manaus,2023.0,CPRAC - PPC
0208782-21.2023.8.04.0001,Homologação de Transação Extrajudicial,Data base de servidor público,Comarca de Manaus,2023.0,CPRAC - PPC
0208882-73.2023.8.04.0001,Homologação de Transação Extrajudicial,Data base de servidor público,Comarca de Manaus,2023.0,CPRAC - PPC
0208535-40.2023.8.04.0001,Homologação de Transação Extrajudicial,Data base de servidor público,Comarca de Manaus,2023.0,CPRAC - PPC
0208580-44.2023.8.04.0001,Homologação de Transação Extrajudicial,Data base de servidor público,Comarca de Manaus,2023.0,CPRAC - PPC
0584657-21.2023.8.04.0001,Procedimento Comum,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0584663-28.2023.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0590410-56.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0558224-77.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Promoção de Investigador de Polícia,Comarca de Manaus,2023.0,CPRAC - PPC
0570931-77.2023.8.04.0001,Procedimento Comum,Gratificação de curso,Comarca de Manaus,2023.0,CPRAC - PPC
0538091-14.2023.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2023.0,CPRAC - PPC
0631220-73.2023.8.04.0001,Petição Cível,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Comarca de Manaus,2023.0,CPRAC - PPC
0627463-71.2023.8.04.0001,Procedimento Comum,Valores Retroativos do abono de permanência,Comarca de Manaus,2023.0,CPRAC - PPC
0643689-54.2023.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2023.0,CPRAC - PPC
0663248-94.2023.8.04.0001,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2023.0,CPRAC - PPC
0601436-59.2023.8.04.2100,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Anori,2023.0,CPRAC - PPC
0677663-82.2023.8.04.0001,Homologação de Transação Extrajudicial,Indenização de férias,Comarca de Manaus,2023.0,CPRAC - PPC
0667909-19.2023.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2023.0,CPRAC - PPC
0673056-26.2023.8.04.0001,Petição Cível,Promoção de Investigador de Polícia,Comarca de Manaus,2023.0,CPRAC - PPC
0434673-26.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção,Comarca de Manaus,2024.0,CPRAC - PPC
0439469-60.2024.8.04.0001,Petição Cível,Reajuste de remuneração,Comarca de Manaus,2024.0,CPRAC - PPC
0452664-15.2024.8.04.0001,Procedimento Comum,Valores Retroativos do abono de permanência,Comarca de Manaus,2024.0,CPRAC - PPC
4002824-36.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002224-15.2024.8.04.0000,Mandado de Segurança,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Tribunal De Justiça,2024.0,CPRAC - PPC
0464402-97.2024.8.04.0001,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002834-80.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002770-70.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002840-87.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002704-90.2024.8.04.0000,Mandado de Segurança,Promoção de Investigador de Polícia,Tribunal De Justiça,2024.0,CPRAC - PPC
0466194-86.2024.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0465726-25.2024.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0465725-40.2024.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0466218-17.2024.8.04.0001,Homologação de Transação Extrajudicial,Indenização de licença especial,Comarca de Manaus,2024.0,CPRAC - PPC
0471869-30.2024.8.04.0001,Homologação de Transação Extrajudicial,Enquadramento,Comarca de Manaus,2024.0,CPRAC - PPC
0472528-39.2024.8.04.0001,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002823-51.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002767-18.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002821-81.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
0410112-35.2024.8.04.0001,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0477300-45.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477302-15.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477307-37.2024.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
